카테고리,필수/옵션 선택,중복선택 여부,메뉴 필터 / 식당 필터 / 리뷰 등록,이름,의견사항,최종 편집 일시,최종 편집자
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",한식,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",양식,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",중식,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",일식,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",분식,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",아시아 음식,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",뷔페,,2023년 8월 27일 오전 4:58,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",기타,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",패스트푸드,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",카페/디저트,,2023년 8월 21일 오전 9:04,jiwon moon
음식 종류,필수선택,중복선택 가능,"리뷰, 메뉴, 식당",샌드위치/샐러드,,2023년 8월 21일 오전 9:04,jiwon moon
가격,필수선택,단일선택,"리뷰, 식당","10,000원 이하",,2023년 8월 21일 오전 9:03,jiwon moon
가격,필수선택,단일선택,"리뷰, 식당","11,000원 이하",,2023년 8월 21일 오전 9:03,jiwon moon
가격,필수선택,단일선택,"리뷰, 식당","12,000원 이하",,2023년 8월 21일 오전 9:03,jiwon moon
가격,필수선택,단일선택,"리뷰, 식당","13,000원 이하",,2023년 8월 21일 오전 9:03,jiwon moon
가격,필수선택,단일선택,"리뷰, 식당","13,000원 이상",,2023년 8월 21일 오전 9:03,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",깨끗해요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",친절해요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",분위기가 좋아요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",가성비가 좋아요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",주차가 가능해요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,리뷰,맛있어요,,2023년 8월 24일 오전 8:37,jiwon moon
키워드,옵션선택,중복선택 가능,리뷰,웨이팅이 있어요,,2023년 8월 24일 오전 8:37,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",회전율이 좋아요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",양이 많아요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,리뷰,양이 적어요,,2023년 8월 24일 오전 8:37,jiwon moon
키워드,옵션선택,중복선택 가능,"리뷰, 식당",넓고 쾌적해요,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,매콤한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,고소한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,가벼운,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,국물이 진한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,차가운,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,해장에 제격,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,깔끔한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,따뜻한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,풍미가 진한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,느끼한,,2023년 8월 21일 오전 9:04,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,달콤한,추가,2023년 8월 28일 오전 6:43,jiwon moon
키워드,옵션선택,중복선택 가능,메뉴,상큼한,추가,2023년 8월 28일 오전 6:47,jiwon moon
Y/N,필수선택,단일선택,"리뷰, 식당",재방문의사,,2023년 8월 21일 오전 9:03,jiwon moon
Y/N,필수선택,단일선택,메뉴,재방문의사가 있는 식당만 추천받기,,2023년 8월 21일 오전 9:03,jiwon moon